Ex and temperature from ldmodel 4 z032.tab for 76Ge
 U[MeV]  T[MeV] 
   0.25  0.308
   0.50  0.331
   0.75  0.351
   1.00  0.369
   1.25  0.385
   1.50  0.399
   1.75  0.413
   2.00  0.426
   2.25  0.438
   2.50  0.453
   2.75  0.481
   3.00  0.512
   3.25  0.542
   3.50  0.570
   3.75  0.598
   4.00  0.624
   4.25  0.649
   4.50  0.674
   4.75  0.698
   5.00  0.721
   5.50  0.765
   6.00  0.808
   6.50  0.848
   7.00  0.887
   7.50  0.925
   8.00  0.961
   8.50  0.995
   9.00  1.029
   9.50  1.061
  10.00  1.093
  11.00  1.153
  12.00  1.209
  13.00  1.263
  14.00  1.314
  15.00  1.363
  16.00  1.410
  17.00  1.455
  18.00  1.498
  19.00  1.540
  20.00  1.580
  22.50  1.676
  25.00  1.765
  30.00  1.928
  40.00  2.211
  50.00  2.456
  60.00  2.677
  70.00  2.880
  80.00  3.071
  90.00  3.252
 100.00  3.425
 110.00  3.593
 120.00  3.755
 130.00  3.913
 140.00  4.069
 150.00  4.221
