Ex and temperature from ldmodel 4 z039.tab for 89Y
 U[MeV]  T[MeV]
   0.25  0.001 
   0.50  0.001 
   0.75  0.359 
   1.00  0.382 
   1.25  0.402 
   1.50  0.419 
   1.75  0.435 
   2.00  0.450 
   2.25  0.464 
   2.50  0.477 
   2.75  0.489 
   3.00  0.505 
   3.25  0.524 
   3.50  0.541 
   3.75  0.559 
   4.00  0.576 
   4.25  0.592 
   4.50  0.609 
   4.75  0.625 
   5.00  0.641 
   5.50  0.672 
   6.00  0.703 
   6.50  0.733 
   7.00  0.763 
   7.50  0.793 
   8.00  0.822 
   8.50  0.850 
   9.00  0.879 
   9.50  0.906 
  10.00  0.934 
  11.00  0.988 
  12.00  1.040 
  13.00  1.090 
  14.00  1.139 
  15.00  1.186 
  16.00  1.232 
  17.00  1.276 
  18.00  1.319 
  19.00  1.361 
  20.00  1.401 
  22.50  1.496 
  25.00  1.586 
  30.00  1.749 
  40.00  2.030 
  50.00  2.272 
  60.00  2.489 
  70.00  2.687 
  80.00  2.872 
  90.00  3.046 
 100.00  3.213 
 110.00  3.374 
 120.00  3.530 
 130.00  3.681 
 140.00  3.829 
 150.00  3.975 
