Ex and temperature from ldmodel 4 z039.tab for 90Y
 U[MeV]  T[MeV] 
   0.25  0.275  
   0.50  0.387  
   0.75  0.409  
   1.00  0.428  
   1.25  0.446  
   1.50  0.462  
   1.75  0.478  
   2.00  0.492  
   2.25  0.505  
   2.50  0.530  
   2.75  0.553  
   3.00  0.575  
   3.25  0.596  
   3.50  0.617  
   3.75  0.637  
   4.00  0.656  
   4.25  0.675  
   4.50  0.693  
   4.75  0.711  
   5.00  0.728  
   5.50  0.761  
   6.00  0.794  
   6.50  0.825  
   7.00  0.856  
   7.50  0.885  
   8.00  0.914  
   8.50  0.942  
   9.00  0.970  
   9.50  0.996  
  10.00  1.023  
  11.00  1.074  
  12.00  1.123  
  13.00  1.170  
  14.00  1.215  
  15.00  1.259  
  16.00  1.302  
  17.00  1.343  
  18.00  1.383  
  19.00  1.422  
  20.00  1.459  
  22.50  1.549  
  25.00  1.634  
  30.00  1.789  
  40.00  2.060  
  50.00  2.296  
  60.00  2.508  
  70.00  2.703  
  80.00  2.886  
  90.00  3.059  
 100.00  3.225  
 110.00  3.385  
 120.00  3.540  
 130.00  3.691  
 140.00  3.838  
 150.00  3.983  
