Response function created for file:raw_76Ge at 09-Jul-14 10:29:37
Calibration (a0,a1)=     1.0    7.000  FWHM=    6.0

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
     1.0       1.4   0.000  1.0000  0.0000  0.0000  0.0000  0.0000
   141.0      23.8   0.144  0.6453  0.3547  0.0000  0.0000  0.0000
   281.0      36.0   0.403  0.4584  0.5416  0.0000  0.0000  0.0000
   421.0      38.8   0.641  0.3843  0.6157  0.0000  0.0000  0.0000
   561.0      46.5   0.761  0.3600  0.6400  0.0000  0.0000  0.0000
   701.0      53.1   0.841  0.3516  0.6484  0.0000  0.0000  0.0000
   841.0      59.1   0.899  0.3452  0.6548  0.0000  0.0000  0.0000
   981.0      65.0   0.939  0.3409  0.6591  0.0000  0.0000  0.0000
  1121.0      71.0   0.969  0.3350  0.6650  0.0000  0.0000  0.0000
  1261.0      76.8   0.992  0.3283  0.6717  0.0000  0.0000  0.0000
  1401.0      82.6   1.010  0.3191  0.6808  0.0000  0.0000  0.0000
  1541.0      87.5   1.024  0.3154  0.6770  0.0026  0.0000  0.0050
  1681.0      92.9   1.038  0.3095  0.6754  0.0053  0.0000  0.0098
  1821.0      98.9   1.052  0.3010  0.6770  0.0076  0.0000  0.0144
  1961.0     104.8   1.066  0.2941  0.6795  0.0084  0.0000  0.0180
  2101.0     110.1   1.075  0.2874  0.6813  0.0095  0.0000  0.0218
  2241.0     115.3   1.084  0.2797  0.6834  0.0110  0.0000  0.0259
  2381.0     120.8   1.098  0.2718  0.6844  0.0137  0.0000  0.0300
  2521.0     126.0   1.106  0.2634  0.6864  0.0157  0.0000  0.0345
  2661.0     130.6   1.113  0.2557  0.6889  0.0167  0.0000  0.0387
  2801.0     134.6   1.120  0.2493  0.6913  0.0168  0.0000  0.0426
  2941.0     138.4   1.134  0.2449  0.6889  0.0190  0.0000  0.0472
  3081.0     140.8   1.145  0.2396  0.6879  0.0209  0.0000  0.0516
  3221.0     142.0   1.153  0.2332  0.6886  0.0225  0.0000  0.0558
  3361.0     142.8   1.162  0.2267  0.6894  0.0240  0.0000  0.0599
  3501.0     143.2   1.170  0.2201  0.6904  0.0255  0.0000  0.0639
  3641.0     147.8   1.178  0.2168  0.6910  0.0265  0.0000  0.0657
  3781.0     152.3   1.187  0.2133  0.6920  0.0274  0.0000  0.0674
  3921.0     156.7   1.195  0.2099  0.6928  0.0283  0.0000  0.0691
  4061.0     160.7   1.202  0.2055  0.6934  0.0294  0.0003  0.0713
  4201.0     164.3   1.208  0.2001  0.6938  0.0308  0.0012  0.0741
  4341.0     167.7   1.214  0.1946  0.6943  0.0322  0.0020  0.0769
  4481.0     171.1   1.219  0.1890  0.6948  0.0336  0.0028  0.0798
  4621.0     173.6   1.227  0.1851  0.6948  0.0345  0.0039  0.0816
  4761.0     175.9   1.236  0.1815  0.6949  0.0352  0.0051  0.0834
  4901.0     177.9   1.244  0.1777  0.6951  0.0360  0.0062  0.0850
  5041.0     180.2   1.252  0.1738  0.6959  0.0365  0.0069  0.0868
  5181.0     183.2   1.257  0.1693  0.6989  0.0367  0.0064  0.0887
  5321.0     186.1   1.263  0.1649  0.7017  0.0369  0.0059  0.0907
  5461.0     188.9   1.268  0.1604  0.7047  0.0370  0.0053  0.0926
  5601.0     192.9   1.276  0.1576  0.7063  0.0378  0.0044  0.0939
  5741.0     197.2   1.284  0.1556  0.7073  0.0388  0.0034  0.0950
  5881.0     201.6   1.293  0.1533  0.7085  0.0397  0.0024  0.0960
  6021.0     205.9   1.301  0.1512  0.7095  0.0407  0.0014  0.0971
  6161.0     210.2   1.310  0.1491  0.7106  0.0417  0.0004  0.0982
  6301.0     214.4   1.318  0.1468  0.7114  0.0427  0.0000  0.0991
  6441.0     218.7   1.326  0.1444  0.7120  0.0436  0.0000  0.1000
  6581.0     222.9   1.335  0.1419  0.7129  0.0444  0.0000  0.1008
  6721.0     227.1   1.343  0.1391  0.7143  0.0452  0.0000  0.1014
  6861.0     231.3   1.352  0.1363  0.7159  0.0459  0.0000  0.1019
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
     1.0   0.000   0.000   0.000
     8.0   0.000   0.000   0.000
    15.0   0.000   0.000   0.000
    22.0   0.000   0.000   0.000
    29.0   0.000   0.000   0.000
    36.0   0.000   0.000   0.000
    43.0   0.000   0.000   0.000
    50.0   0.000   0.000   0.000
    57.0   0.000   0.000   0.000
    64.0   0.001   0.000   0.000
    71.0   0.014   0.000   0.000
    78.0   0.027   0.000   0.000
    85.0   0.040   0.000   0.000
    92.0   0.053   0.000   0.000
    99.0   0.066   0.000   0.000
   106.0   0.079   0.000   0.000
   113.0   0.092   0.000   0.000
   120.0   0.105   0.000   0.000
   127.0   0.118   0.005   0.001
   134.0   0.131   0.012   0.002
   141.0   0.144   0.019   0.003
   148.0   0.157   0.026   0.004
   155.0   0.170   0.032   0.006
   162.0   0.183   0.039   0.007
   169.0   0.196   0.046   0.009
   176.0   0.209   0.053   0.011
   183.0   0.222   0.060   0.013
   190.0   0.234   0.104   0.024
   197.0   0.247   0.147   0.036
   204.0   0.260   0.191   0.050
   211.0   0.273   0.234   0.064
   218.0   0.286   0.278   0.080
   225.0   0.299   0.322   0.096
   232.0   0.312   0.365   0.114
   239.0   0.325   0.409   0.133
   246.0   0.338   0.446   0.151
   253.0   0.351   0.469   0.165
   260.0   0.364   0.491   0.179
   267.0   0.377   0.514   0.194
   274.0   0.390   0.536   0.209
   281.0   0.403   0.558   0.225
   288.0   0.416   0.581   0.241
   295.0   0.429   0.605   0.260
   302.0   0.442   0.643   0.284
   309.0   0.455   0.681   0.310
   316.0   0.468   0.719   0.336
   323.0   0.481   0.757   0.364
   330.0   0.494   0.794   0.392
   337.0   0.506   0.832   0.421
   344.0   0.519   0.870   0.452
   351.0   0.532   0.874   0.465
   358.0   0.545   0.878   0.479
   365.0   0.558   0.882   0.492
   372.0   0.571   0.885   0.506
   379.0   0.584   0.889   0.519
   386.0   0.597   0.893   0.533
   393.0   0.610   0.897   0.547
   400.0   0.623   0.901   0.561
   407.0   0.629   0.905   0.569
   414.0   0.635   0.909   0.577
   421.0   0.641   0.912   0.585
   428.0   0.647   0.916   0.593
   435.0   0.653   0.920   0.601
   442.0   0.659   0.924   0.609
   449.0   0.665   0.928   0.617
   456.0   0.671   0.932   0.625
   463.0   0.677   0.936   0.633
   470.0   0.683   0.939   0.641
   477.0   0.689   0.943   0.650
   484.0   0.695   0.947   0.658
   491.0   0.701   0.951   0.666
   498.0   0.707   0.955   0.675
   505.0   0.713   0.959   0.683
   512.0   0.719   0.962   0.692
   519.0   0.725   0.966   0.700
   526.0   0.731   0.970   0.709
   533.0   0.737   0.974   0.718
   540.0   0.743   0.978   0.726
   547.0   0.749   0.982   0.735
   554.0   0.755   0.986   0.744
   561.0   0.761   0.989   0.753
   568.0   0.767   0.990   0.759
   575.0   0.773   0.991   0.765
   582.0   0.779   0.991   0.772
   589.0   0.785   0.991   0.778
   596.0   0.791   0.992   0.784
   603.0   0.795   0.992   0.789
   610.0   0.799   0.992   0.792
   617.0   0.802   0.993   0.796
   624.0   0.805   0.993   0.799
   631.0   0.808   0.993   0.803
   638.0   0.812   0.994   0.806
   645.0   0.815   0.994   0.810
   652.0   0.818   0.994   0.813
   659.0   0.821   0.994   0.817
   666.0   0.825   0.995   0.820
   673.0   0.828   0.995   0.824
   680.0   0.831   0.995   0.827
   687.0   0.834   0.996   0.831
   694.0   0.838   0.996   0.834
   701.0   0.841   0.996   0.838
   708.0   0.844   0.997   0.841
   715.0   0.847   0.997   0.845
   722.0   0.851   0.997   0.848
   729.0   0.854   0.998   0.852
   736.0   0.857   0.998   0.856
   743.0   0.860   0.998   0.859
   750.0   0.864   0.999   0.863
   757.0   0.867   0.999   0.866
   764.0   0.870   0.999   0.870
   771.0   0.874   1.000   0.873
   778.0   0.877   1.000   0.877
   785.0   0.880   1.000   0.880
   792.0   0.883   1.000   0.883
   799.0   0.887   1.000   0.887
   806.0   0.889   1.000   0.889
   813.0   0.891   1.000   0.891
   820.0   0.893   1.000   0.893
   827.0   0.895   1.000   0.895
   834.0   0.897   1.000   0.897
   841.0   0.899   1.000   0.899
   848.0   0.901   1.000   0.901
